NUPATRIM    NUPROJ    DTMOVI      FLMOV    USUARIO                            DTOPERACAO    
7643        999915    13/08/2025    I        TIAGOP                             13/08/2025    
8894        999915    13/08/2025    I        TIAGOP                             13/08/2025    
36185       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36186       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36187       999915    13/08/2025    I        TIAGOP                             13/08/2025    
32363       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36190       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36195       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36196       999915    13/08/2025    I        TIAGOP                             13/08/2025    
36197       999915    13/08/2025    I        TIAGOP                             13/08/2025    
28485       631       13/08/2025    I        BEA.SC                             13/08/2025    
28487       631       13/08/2025    I        BEA.SC                             13/08/2025    
9132        631       13/08/2025    I        BEA.SC                             13/08/2025    
9033        631       13/08/2025    I        BEA.SC                             13/08/2025    
33136       631       13/08/2025    I        BEA.SC                             13/08/2025    
29063       631       13/08/2025    I        BEA.SC                             13/08/2025    
32589       631       13/08/2025    I        BEA.SC                             13/08/2025    
29069       631       13/08/2025    I        BEA.SC                             13/08/2025    
28065       631       13/08/2025    I        BEA.SC                             13/08/2025    
32401       631       13/08/2025    I        BEA.SC                             13/08/2025    
33229       631       13/08/2025    I        BEA.SC                             13/08/2025    
36857       773       13/08/2025    I        BEA.SC                             13/08/2025    
10244       999915    13/08/2025    I        TIAGOP                             13/08/2025    
37054       999915    13/08/2025    I        TIAGOP                             13/08/2025    
30212       999915    13/08/2025    I        TIAGOP                             13/08/2025    
35926       888       13/08/2025    I        BEA.SC                             13/08/2025    
35934       888       13/08/2025    I        BEA.SC                             13/08/2025    
36323       888       13/08/2025    I        BEA.SC                             13/08/2025    
35935       888       14/08/2025    I        BEA.SC                             14/08/2025    
35909       888       14/08/2025    I        BEA.SC                             14/08/2025    
35929       888       14/08/2025    I        BEA.SC                             14/08/2025    
33162       888       14/08/2025    I        BEA.SC                             14/08/2025    
36378       888       14/08/2025    I        BEA.SC                             14/08/2025    
35906       888       14/08/2025    I        BEA.SC                             14/08/2025    
35928       888       14/08/2025    I        BEA.SC                             14/08/2025    
35928       888       14/08/2025    I        BEA.SC                             14/08/2025    
35924       888       14/08/2025    I        BEA.SC                             14/08/2025    
35924       888       14/08/2025    I        BEA.SC                             14/08/2025    
17727       999915    14/08/2025    I        TIAGOP                             14/08/2025    
17730       999915    14/08/2025    I        TIAGOP                             14/08/2025    
25293       999915    14/08/2025    I        TIAGOP                             14/08/2025    
35920       888       14/08/2025    I        BEA.SC                             14/08/2025    
36070       888       14/08/2025    I        BEA.SC                             14/08/2025    
33165       888       14/08/2025    I        BEA.SC                             14/08/2025    
33163       888       14/08/2025    I        BEA.SC                             14/08/2025    
36603       888       14/08/2025    I        BEA.SC                             14/08/2025    
36194       999915    14/08/2025    I        TIAGOP                             14/08/2025    
36191       999915    14/08/2025    I        TIAGOP                             14/08/2025    
36189       999915    14/08/2025    I        TIAGOP                             14/08/2025    
25809       8         14/08/2025    I        TIAGOP                             14/08/2025    
9348        648       14/08/2025    I        BEA.SC                             14/08/2025    
36191       921       14/08/2025    I        BEA.SC                             14/08/2025    
36189       921       14/08/2025    I        BEA.SC                             14/08/2025    
28722       648       14/08/2025    I        BEA.SC                             14/08/2025    
32575       648       14/08/2025    I        BEA.SC                             14/08/2025    
32506       648       14/08/2025    I        BEA.SC                             14/08/2025    
28749       648       15/08/2025    I        BEA.SC                             15/08/2025    
32508       648       15/08/2025    I        BEA.SC                             15/08/2025    
29068       648       15/08/2025    I        BEA.SC                             15/08/2025    
8757        648       15/08/2025    I        BEA.SC                             15/08/2025    
9313        648       15/08/2025    I        BEA.SC                             15/08/2025    
9346        648       15/08/2025    I        BEA.SC                             15/08/2025    
29100       648       15/08/2025    I        BEA.SC                             15/08/2025    
