NUPATRIMONIO,DTAQUISICAO
5022,2011-12-11
5023,2011-12-11
5024,2011-12-11
5025,2011-12-11
5026,2011-12-11
5027,2011-12-11
5028,2011-12-11
5029,2011-12-11
5030,2011-12-11
5031,2011-12-11
5032,2011-12-11
5033,2011-12-11
5034,2011-12-11
5035,2025-07-10
5036,2011-12-11
5037,2011-12-11
5038,2011-12-11
5039,2011-12-11
5040,2011-12-11
5041,2011-12-11
5042,2011-12-11
5043,2011-12-11
5044,2011-12-11
5045,2011-12-11
5046,2011-12-11
5047,2011-12-11
5048,2011-12-11
5049,2011-12-11
5050,2011-12-11
5051,2011-12-11
5052,2011-12-11
5053,2011-12-11
5054,2011-12-11
5055,2011-12-11
5056,2011-12-11
5057,2011-12-11
5058,2011-12-11
5059,2011-12-11
5060,2011-12-11
5061,2011-12-11
5062,2011-12-11
5063,2011-12-11
5064,2011-12-11
5065,2011-12-11
5066,2011-12-11
5067,2011-12-11
5068,2011-12-11
5069,2011-12-11
5070,2011-12-11
5071,2011-12-11
5072,2011-12-11
5073,2011-12-11
5074,2011-12-11
5075,2011-12-11
5076,2011-12-11
5077,2011-12-11
5078,2011-12-11
5079,2011-12-11
5080,2011-12-11
5081,2011-12-11
5082,2011-12-11
5083,2011-12-11
5084,2011-12-11
5085,2011-12-11
5086,2011-12-11
5087,2011-12-11
5088,2011-12-11
5089,2011-12-11
5090,2011-12-11
5091,2011-12-11
5092,2011-12-11
5093,2011-12-11
5094,2011-12-11
5095,2011-12-11
5096,2011-12-11
5097,2011-12-11
5098,2011-12-11
5099,2011-12-11
5100,2011-12-11
5101,2011-12-11
5102,2011-12-11
5103,2011-12-11
5104,2011-12-11
5105,2011-12-11
5106,2011-12-11
5107,2011-12-11
5108,2011-12-11
5109,2011-12-11
5110,2011-12-11
5111,2011-12-11
5112,2011-12-11
5114,2011-12-11
5115,2011-12-11
5116,2011-12-11
5117,2011-12-11
5118,2011-12-11
5119,2011-12-11
5120,2011-12-11
5121,2011-12-11
5122,2011-12-11
5123,2011-12-11
5124,2011-12-11
5125,2011-12-11
5126,2011-12-11
5127,2011-12-11
5128,2011-12-11
5129,2011-12-11
5130,2011-12-11
5131,2011-12-11
5132,2011-12-11
5133,2011-12-11
5134,2011-12-11
5135,2011-12-11
5136,2011-12-11
5137,2011-12-11
5138,2011-12-11
5139,2011-12-11
5140,2011-12-11
5141,2011-12-11
5142,2011-12-11
5143,2011-12-11
5144,2011-12-11
5145,2011-12-11
5146,2011-12-11
5147,2011-12-11
5148,2011-12-11
5149,2011-12-11
5151,2011-12-11
5152,2011-12-11
5153,2011-12-11
5161,2011-12-11
5162,2011-12-11
5163,2011-12-11
5165,2011-12-11
5166,2011-12-11
5167,2011-12-11
5168,2011-12-11
5169,2011-12-11
5170,2011-12-11
5171,2011-12-11
5172,2011-12-11
5173,2011-12-11
5174,2011-12-11
5175,2011-12-11
5176,2011-12-11
5177,2011-12-11
5178,2011-12-11
5179,2011-12-11
5180,2011-12-11
5181,2011-12-11
5182,2011-12-11
5183,2011-12-11
5184,2011-12-11
5185,2011-12-11
5186,2011-12-11
5187,2011-12-11
5188,2011-12-11
5189,2011-12-11
5190,2011-12-11
5191,2011-12-11
5192,2011-12-11
5193,2011-12-11
5194,2011-12-11
5195,2011-12-11
5196,2011-12-11
5197,2011-12-11
5198,2011-12-11
5199,2011-12-11
5200,2011-12-11
5201,2011-12-11
5202,2011-12-11
5203,2011-12-11
5204,2011-12-11
5205,2011-12-11
5206,2011-12-11
5207,2011-12-11
5208,2011-12-11
5209,2011-12-11
5210,2011-12-11
5211,2011-12-11
5212,2011-12-11
5213,2011-12-11
5214,2011-12-11
5215,2011-12-11
5216,2011-12-11
5217,2011-12-11
5218,2011-12-11
5219,2011-12-11
5220,2011-12-11
5221,2011-12-11
5222,2011-12-11
5223,2011-12-11
5224,2011-12-11
5225,2011-12-11
5226,2011-12-11
5227,2011-12-11
5228,2011-12-11
5229,2011-12-11
5230,2011-12-11
5231,2011-12-11
5232,2011-12-11
5233,2011-12-11
5234,2011-12-11
5235,2011-12-11
5236,2011-12-11
5237,2011-12-11
5238,2011-12-11
5239,2011-12-11
5240,2011-12-11
5241,2011-12-11
5242,2011-12-11
5243,2011-12-11
5244,2011-12-11
5245,2011-12-11
5246,2011-12-11
5247,2011-12-11
5248,2011-12-11
5249,2011-12-11
5250,2011-12-11
5251,2011-12-11
5252,2011-12-11
5253,2011-12-11
5254,2011-12-11
5255,2011-12-11
5256,2011-12-11
5257,2011-12-11
5258,2011-12-11
5259,2011-12-11
5260,2011-12-11
5261,2011-12-11
5262,2011-12-11
5263,2011-12-11
5264,2011-12-11
5265,2011-12-11
5266,2011-12-11
5267,2011-12-11
5268,2011-12-11
5269,2011-12-11
5270,2011-12-11
5271,2011-12-11
5272,2011-12-11
5273,2011-12-11
5274,2011-12-11
5275,2011-12-11
5276,2011-12-11
5277,2011-12-11
5278,2011-12-11
5279,2011-12-11
5280,2011-12-11
5281,2011-12-11
5282,2011-12-11
5283,2011-12-11
5284,2011-12-11
5285,2011-12-11
5286,2011-12-11
5287,2011-12-11
5288,2011-12-11
5289,2011-12-11
5290,2011-12-11
5291,2011-12-11
5292,2011-12-11
5293,2011-12-11
5294,2011-12-11
5295,2011-12-11
5296,2011-12-11
5297,2011-12-11
5298,2011-12-11
5299,2011-12-11
5300,2011-12-11
5301,2011-12-11
5302,2011-12-11
5303,2011-12-11
5304,2011-12-11
5305,2011-12-11
5306,2011-12-11
5307,2011-12-11
5308,2011-12-11
5309,2011-12-11
5310,2011-12-11
5311,2011-11-12
5312,2011-12-11
5313,2011-12-11
5314,2011-12-11
5315,2011-12-11
5316,2011-12-11
5317,2011-12-11
5318,2011-12-11
5319,2011-12-11
5341,2011-12-11
5342,2011-12-11
5343,2011-12-11
5344,2011-12-11
5345,2011-12-11
5346,2011-12-11
5347,2011-12-11
5348,2011-12-11
5349,2011-12-11
5350,2011-12-11
5351,2011-12-11
5352,2011-12-11
5353,2011-12-11
5354,2011-12-11
5355,2011-12-11
5356,2011-12-11
