CDFANTASIA    DEFANTASIA                                                       CDFILIAL    UFPROJ    
442           CÂMARA - DESIGN - 2                                              1           DF        
443           TRT-CAMPINAS-SP2                                                 1           SP        
444           TCU-DF                                                           1           DF        
325           JF-RS 4                                                          1           RS        
77777         CÂMARA-MANUTENÇÃO-433                                            1           DF        
77778         CEF-TELE-MG-105                                                  1           MG        
77776         BB-PR-TEL-418                                                    1           PR        
446           PF-SC-3                                                          1           SC        
99999         TROCA                                                            1           <null>    
326           PF-RS-3                                                          1           RS        
447           TCU-DF-2                                                         1           DF        
77779         BB-PR-182.                                                       1           PR        
77780         CÂMARA MANUT2- 433                                               1           DF        
77781         CEF-RJ1 B-131                                                    1           RJ        
77782         CEF-RJ2 B- 132                                                   1           RJ        
77783         CEF-RJ3 B - 135                                                  1           RJ        
449           TCU-DF-3                                                         1           DF        
327           TJ-RS-2                                                          1           RS        
448           BB-ES-2                                                          1           ES        
77784         SENADO FEDERAL A-112                                             1           DF        
450           CEF-RJ-7                                                         1           RJ        
328           BB-RS-4                                                          1           RS        
329           PF-RS-4                                                          1           RS        
330           PF-RS-5                                                          1           RS        
331           PF-RS-6                                                          1           RS        
77785         SENADO FEDERAL - 112                                             1           DF        
451           FUFS-SE                                                          1           SE        
452           CÂMARA - RESTAURAÇÃO                                             1           DF        
453           EBCT-SC-3                                                        1           SC        
99997         RBG                                                              1           SC        
99998         ALPLAN                                                           1           BA        
332           PF-RS-7                                                          1           RS        
333           PF-RS-8                                                          1           RS        
454           FUNASA-SC-2                                                      1           SC        
455           FUNASA-SC-3                                                      1           SC        
456           SESAI 1                                                          1           SC        
457           SESAI-2                                                          1           SC        
458           SESAI-3                                                          1           SC        
334           TJ-RS-3                                                          1           RS        
77786         JF-RS 4  -  325                                                  1           RS        
335           PRINTSTORE-RS                                                    1           RS        
459           PREVIC                                                           1           DF        
777430        CÂMARA ELETRO - 430                                              1           DF        
460           BB-RJ                                                            1           RJ        
461           JF-SP                                                            1           SP        
462           BB-SC                                                            1           SC        
463           MF-SC                                                            5           SC        
465           CÂMARA - DESIGN - 3                                              1           DF        
464           FIOCRUZ                                                          20          RJ        
466           DNPM-SC                                                          1           SC        
336           PROCEMPA-RS-3                                                    1           RS        
468           BB-MG-2                                                          1           MG        
467           BB-PR-LIMP-2                                                     1           PR        
777785        COHAB-SC-106                                                     1           SC        
349           CEF-LIMP-RS-6                                                    1           RS        
521           BB-SP-5                                                          1           SP        
337           PRF-RS-2                                                         1           RS        
338           BB-RS-5                                                          1           RS        
77787         MF-RJ - 144                                                      1           RJ        
469           CARGO DUTRA I                                                    1           RJ        
470           CARGO DUTRA II                                                   1           RJ        
471           CARGO DUTRA III                                                  1           RJ        
472           CARGO VIA DUTRA                                                  1           RJ        
473           CARGO CAXIAS I                                                   1           RJ        
474           CARGO WASHINGTON LUIZ II                                         1           RJ        
475           CARGO LINHA VERMELHA                                             1           RJ        
476           CARGO MERCURIO                                                   1           RJ        
477           CARGO GB ARMAZEM GERAIS                                          1           RJ        
339           GHC-RS-3                                                         1           RS        
77788         SEBRAE-SC - 74                                                   1           SC        
478           CEF-SC/LIMP 3                                                    1           SC        
479           CEF-SC/LIMP 4                                                    1           SC        
480           CEF-SC/LIMP 5                                                    1           SC        
481           CEF-PR 3                                                         1           PR        
340           CEF-LIMP-RS-4                                                    1           RS        
341           TJ-RS-4                                                          1           RS        
342           TJ-RS-5                                                          1           RS        
482           UFABC-SP-2                                                       1           SP        
77789         UFRGS - 324                                                      1           RS        
483           ANAC                                                             1           DF        
484           BB-MG-3                                                          1           MG        
343           DNIT RS-3                                                        1           RS        
485           JF-SP 2                                                          1           SP        
486           BB-SC-2                                                          1           SC        
487           CEF-SC/LIMP-6                                                    10          SC        
488           CEF-PR-4                                                         1           PR        
489           CEF-LIMP-GO                                                      1           GO        
77791         CEF-RJ5-149                                                      1           RJ        
490           ACAFE-3                                                          1           SC        
77792         SDR-ITAJAI-280                                                   1           SC        
494           MP-SE                                                            15          SE        
492           BB-SC-3                                                          1           SC        
491           DRF-ITAJAI-2                                                     1           SC        
344           GHC-RS-4                                                         1           RS        
345           GHC-RS-5                                                         1           RS        
495           SERT-SP                                                          1           SP        
552           PLANSUL BAURU                                                    1           SP        
496           CEF-RJ-8                                                         1           RJ        
497           ELETROSUL-2                                                      1           SC        
498           MF-DF                                                            1           DF        
499           IPEA-DF                                                          1           DF        
500           PR-SC-JLL                                                        1           SC        
501           PR-SC-FLORIANOPOLIS                                              1           SC        
502           PR-SC-TUBARAO                                                    1           SC        
503           PR-SC-CRICIUMA                                                   1           SC        
504           CEF-BA-2                                                         1           BA        
346           BB-RS-6                                                          15          RS        
505           CELESC-2                                                         1           SC        
506           BB-MG-4                                                          1           MG        
507           BB-MG-5                                                          1           MG        
508           BB-MG-6                                                          1           MG        
509           BB-MG-7                                                          1           MG        
510           BB-MG-8                                                          1           MG        
511           UFABC-SP-3                                                       1           SP        
512           BB-MS                                                            1           MS        
513           ACAFE-4                                                          1           SC        
514           CAMARA - CENIN                                                   1           DF        
515           CÂMARA-TV BANCO DE CONTEUDO                                      1           DF        
516           CÂMARA-TV JORNALISMO                                             1           DF        
347           CEF-LIMP-RS-5                                                    1           RS        
9549          PLANSUL - MS                                                     1           MS        
517           CEF-SP-7                                                         1           SP        
348           PF-RS-9                                                          1           RS        
518           BB-SC-4                                                          1           SC        
519           SENADO-5                                                         10          DF        
520           DRF-FPOLIS                                                       20          SC        
522           TJ-MG-1                                                          1           MG        
523           TJ-MG-2                                                          1           MG        
525           CEF-RJ 9                                                         1           RJ        
524           BB-MS-2                                                          1           MS        
350           CEF-LIMP-RS-7                                                    1           RS        
528           INFRAERO - MG                                                    1           MG        
535           DRF-FOZ                                                          1           PR        
529           TST-DF-2                                                         1           DF        
527           MEC-DF-2                                                         1           DF        
531           COBRA                                                            1           RJ        
530           PLANSUL - SC                                                     1           SC        
534           CEF-DF-1                                                         1           DF        
777340        CEF-LIMP-RS-4 -340                                               1           RS        
532           BB-SP-6                                                          1           SP        
351           BB-RS-7                                                          1           RS        
352           GHC-RS-6                                                         1           RS        
536           JF-SP-3                                                          1           SP        
533           BB-SP-7                                                          1           SP        
537           JF-SP-4                                                          1           SP        
99990         PLANSUL - GO                                                     1           GO        
538           CEF-SP-8                                                         1           SP        
353           GHC-RS-7                                                         1           RS        
539           TST-DF-3                                                         1           DF        
354           BB-RS-8                                                          1           RS        
540           CÂMARA-CARREGADORES                                              1           DF        
541           CÂMARA-TV-TECNICA                                                1           DF        
542           ACAFE-5                                                          1           SC        
543           CEF-TELE-CE-2                                                    1           CE        
544           ANP-RJ                                                           1           RJ        
545           PLANSUL - SP                                                     1           SP        
546           TCU-DF-4                                                         1           DF        
100001        PLANSUL EMPRESA                                                  1           SC        
547           TJ-MG-3                                                          1           MG        
548           TJ-MG-4                                                          1           MG        
549           TJ-MG-5                                                          1           MG        
550           ANATEL                                                           1           PR        
553           SENADO FEDERAL-7                                                 1           DF        
554           FURNAS-4                                                         1           RJ        
555           FURNAS-5                                                         1           RJ        
556           SENADO FEDERAL-6                                                 1           DF        
557           ACAFE-6                                                          1           SC        
558           ANS                                                              1           DF        
560           PRF-SC                                                           1           SC        
559           ESCRITORIO-AFASTADOS                                             1           PR        
621           ANS-RJ                                                           1           RJ        
561           UFMG-1                                                           1           MG        
562           TRT-PR                                                           1           PR        
563           UFMG-2                                                           1           MG        
564           UFBA                                                             1           BA        
565           UFMG-3                                                           1           MG        
566           DPF-RJ                                                           1           RJ        
567           UFPR-3                                                           1           PR        
568           ACAFE-7                                                          1           SC        
569           TRF-PE                                                           1           CE        
573           ESCRITÓRIO-ES                                                    1           ES        
570           ESCRITÓRIO-MS                                                    1           MS        
571           ESCRITÓRIO-GO                                                    1           GO        
574           CEF-PR-5                                                         1           PR        
575           PR-SC-SMO                                                        1           SC        
576           CÂMARA - COPA                                                    1           SC        
526           ESCRITÓRIO-MG                                                    1           MG        
577           CEF-SC-7                                                         1           SC        
578           FNABUCO-PE                                                       1           CE        
579           PF-SP-CAPITAL                                                    1           SP        
580           PF-SP-ARAÇATUBA                                                  1           SP        
581           PF-SP-ARARAQUARA                                                 1           SP        
582           PF-SP-MARILIA                                                    1           SP        
583           PF-SP-P.PRUDENTE                                                 1           SP        
584           PF-SP-S.J.CAMPOS                                                 1           SP        
585           CEF-SP-9                                                         1           SP        
586           UFMS                                                             1           MS        
587           TRE-CE                                                           1           CE        
588           CEF-MS                                                           1           MS        
589           SENADO-8                                                         10          DF        
590           CEF-MS-2                                                         1           MS        
665           ESCRITÓRIO-BA                                                    1           BA        
777484        BB-MG-3 - 484                                                    1           MG        
591           TRE-CE-2                                                         1           CE        
355           CEF-RS-8                                                         1           RS        
592           MEC-DF-3                                                         1           DF        
593           FIOCRUZ-2                                                        1           RJ        
356           ANAC-RS-3                                                        1           RS        
357           BANRISUL                                                         1           RS        
594           UFPE                                                             1           PE        
595           IN                                                               1           DF        
596           TJ-MG-6                                                          15          MG        
597           TRE-CE-3                                                         1           CE        
358           MF-RS-2                                                          10          RS        
598           BB-CE                                                            1           CE        
599           BB-DF-2                                                          15          DF        
600           IBAMA-GO                                                         15          GO        
602           ESCRITÓRIO-PE                                                    1           PE        
603           TRE-CE-4                                                         1           CE        
604           TRE-CE-5                                                         1           CE        
605           FUNARTE                                                          20          RJ        
606           BB-SP-8                                                          15          SP        
359           PRF-RS-3                                                         1           RS        
607           UFMS-2                                                           1           MS        
608           FUNARTE-2                                                        20          RJ        
609           CÂMARA-TV-2                                                      1           DF        
610           TJ-MG-7                                                          15          MG        
611           FUNARTE-3                                                        20          RJ        
612           CÂMARA-TV-3                                                      1           DF        
613           DRT-SC                                                           10          SC        
614           TRT-BA                                                           5           BA        
615           STJ                                                              20          DF        
360           TJ-RS-6                                                          1           RS        
361           UFRGS-2                                                          20          RS        
616           UFLA                                                             5           MG        
617           ANTT                                                             1           DF        
618           TRT-SC-2                                                         20          SC        
619           AGUAS PARANA                                                     1           PR        
620           INMETRO-RJ                                                       20          RJ        
622           MT-DF                                                            1           DF        
623           SESP-PR                                                          5           PR        
624           SESP-PR-2                                                        5           PR        
803           REPR_3                                                           15          PR        
625           ITCG-PR                                                          1           PR        
626           FUNDEPAR                                                         10          PR        
628           SEMA-PR                                                          10          PR        
629           DNIT-ES                                                          20          ES        
630           TST-DF-4                                                         20          DF        
627           DNIT-MA                                                          1           CE        
631           TJ-MG-8                                                          15          MG        
632           BB-SC-5                                                          1           SC        
633           TJ-MG-9                                                          15          MG        
634           SFA-SC                                                           1           SC        
635           COBRA-2                                                          10          RJ        
636           UFMG-2                                                           15          MG        
637           RTVE-PR                                                          10          PR        
639           SESP-PR-3                                                        15          PR        
638           FUNEAS-PR                                                        5           PR        
