NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
6791	29115	SMARTPHONE SAMSUNG GALAXY A14 5G	197	1895	1047	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6792	29118	SMARTPHONE SAMSUNG GALAXY A13	197	1895	1052	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6793	29120	SMARTPHONE SAMSUNG GALAXY A02	197	1895	614	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6794	29122	SMARTPHONE SAMSUNG GALAXY A14	197	1895	295	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6795	29124	SMARTPHONE SAMSUNG GALAXY A13	197	1895	1052	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6796	29127	SMARTPHONE SAMSUNG GALAXY A03 CORE	197	1895	323	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6797	29132	SMARTPHONE SAMSUNG GALAXY A13	197	1895	1052	133838	EM USO	NULL	NULL	RYAN	2025-01-15
6798	31971	ESCADA DE ALUMINIO 5 DEGRAUS	813	942	50	133838	EM USO	2023-02-14	NULL	RYAN	2025-01-16
6799	31974	ESCADA DE ALUMINIO 7 DEGRAUS	813	942	52	133838	EM USO	2023-02-14	NULL	RYAN	2025-01-16
6800	31972	CARRINHO DE MÃO PRETO COM RODA	813	942	856	133838	EM USO	2023-02-14	NULL	RYAN	2025-01-16
6801	31973	LAVADORA DE ALTA PRESSÃO WAP TURBO 5100	813	942	858	133838	EM USO	2023-02-14	NULL	RYAN	2025-01-16
6802	29134	SMARTPHONE SAMSUNG A02S	197	1895	327	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6803	29138	SMARTPHONE SAMSUNG GALAXY A13	197	1895	1052	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6804	29140	SMARTPHONE SAMSUNG GALAXY A14 5G	197	1895	1047	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6805	29141	SMARTPHONE SAMSUNG GALAXY A14	197	1895	295	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6806	29142	SMARTPHONE SAMSUNG GALAXY A14	197	1895	295	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6807	29143	SMARTPHONE SAMSUNG GALAXY A03 CORE	197	1895	323	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6808	29145	SMARTPHONE SAMSUNG A02S	197	1895	327	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6809	29146	SMARTPHONE SAMSUNG GALAXY A03 CORE	197	1895	323	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6810	29148	SMARTPHONE SAMSUNG GALAXY A03 CORE	197	1895	323	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6811	30103	SMARTPHONE SAMSUNG GALAXY A15	197	1895	322	133838	EM USO	2024-06-20	NULL	RYAN	2025-01-28
6812	29123	SMARTPHONE SAMSUNG GALAXY A03 CORE	197	1895	323	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6813	29125	SMARTPHONE SAMSUNG A22	197	1895	424	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6814	29130	SMARTPHONE MOTOROLA MOTO G22	197	1895	996	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6815	29133	SMARTPHONE SAMSUNG GALAXY A05	197	1895	335	133838	EM USO	NULL	NULL	RYAN	2025-01-20
6816	32254	CPU	197	1895	151	133838	EM USO	2025-01-21	NULL	RYAN	2025-07-10
6817	16232	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	530	390	133838	EM USO	NULL	NULL	BEA.SC	2025-11-13
6818	13871	ESCADA 10 DEGRAUS	8	530	54	133838	EM USO	NULL	NULL	RYAN	2025-01-23
6819	32226	MONITOR LG 29'' ULTRAWIDE 29WK600-W IPS FHD IPS 127/220V	8	2031	1055	192606	EM USO	2024-12-02	NULL	BEA.SC	2025-10-14
6820	32256	GAVETEIRO VOLANTE 04 GAVETAS 0,670,460,40M COR CINZA INCOFLEX	8	530	1056	12065	EM USO	2024-11-26	NULL	BEA.SC	2025-11-14
6821	32213	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6822	32136	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6823	32166	CAIXA DE FERRAMENTAS SANFONADA DE METAL	999915	1642	849	185895	BAIXA	NULL	NULL	TIAGOP	2025-10-21
6824	29366	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2025-01-03	NULL	RYAN	2025-01-24
6825	29367	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2025-01-03	NULL	RYAN	2025-01-24
6826	29368	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2025-01-06	NULL	RYAN	2025-01-24
6827	29369	ESCADA DE ALUMINIO 7 DEGRAUS	736	501	52	133838	EM USO	2025-01-06	NULL	RYAN	2025-01-24
6828	29373	ESCADA DE ALUMINIO 6 DEGRAUS	736	501	51	133838	EM USO	2025-01-06	NULL	RYAN	2025-01-24
6829	29370	ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V	736	501	1041	133838	EM USO	2025-01-03	NULL	RYAN	2025-01-24
6830	12860	MICROONDAS ELECTROLUX MTD30	721	1420	102	133838	EM USO	NULL	NULL	RYAN	2025-01-31
6831	12861	MICROONDAS MIDEA MTFE21 21L BRANCO	721	1420	1075	133838	EM USO	NULL	NULL	RYAN	2025-01-31
6832	29374	ESCADA DE ALUMINIO 4 DEGRAUS	736	501	352	133838	EM USO	2025-01-03	NULL	RYAN	2025-01-24
6833	7602	FIREWALL MIKROTIK RB780GR3	682	1426	1058	133838	EM USO	NULL	NULL	RYAN	2025-01-27
6834	25217	LAVADORA DE ALTA PRESSÃO 220V	200	1422	144	133838	BAIXA	NULL	NULL	BEA.SC	2025-11-19
6835	31345	RASTELO	379	1041	1061	133838	EM USO	NULL	NULL	RYAN	2025-01-28
6836	31303	CABO EXTENSOR TELESCOPICO BRALIMPIA 6 METROS	379	1041	1062	133838	EM USO	2024-02-16	NULL	RYAN	2025-01-28
