NUSEQPATR	NUPATRIMONIO	DEPATRIMONIO	CDPROJETO	CDLOCAL	CODOBJETO	CDMATRFUNCIONARIO	SITUACAO	DTAQUISICAO	DTBAIXA	USUARIO	DTOPERACAO
3876	7677	CPU	8	530	151	10413	BAIXA	NULL	NULL	BEA.SC	2025-10-27
3877	7516	CPU	8	2035	151	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3878	30090	ARMARIO LONGO 2 GAVETAS	8	2035	443	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3880	30091	ARMARIO DE MADEIRA 4 PORTAS	8	2035	447	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3881	30092	ARMARIO ALTO 2  PORTAS	8	2035	250	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3882	30093	MESA DE ESCRITORIO GRANDE DE MARMORE 5 GAVETAS	8	2035	448	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3883	30094	ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL	8	2035	449	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3884	30095	ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL	8	2035	449	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3885	30096	ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL	8	2035	449	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3886	30097	ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL	8	2035	449	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3887	30105	ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL	8	2035	449	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3888	30106	ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL	8	2035	449	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3889	30107	ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL	8	2035	449	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3890	30108	ARMARIO PARA ARQUIVO 4 GAVETAS DE METAL	8	2035	449	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3892	30111	CADEIRA DE ESCRITORIO PRETA (FIXA)	8	2035	396	133838	EM USO	NULL	NULL	BEA.SC	2025-10-16
3893	30113	CADEIRA DE ESCRITORIO PRETA (FIXA)	8	530	396	133838	Á DISPOSIÇÃO	NULL	NULL	BEA.SC	2025-12-01
3894	30078	TELEFONE FIXO INTELBRAS TIP 120I	8	2031	417	192606	EM USO	NULL	NULL	BEA.SC	2025-10-17
3895	30098	MESA DE ESCRITORIO INDIVIDUAL 2 GAVETAS	8	530	403	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
3897	4763	CPU	8	2031	151	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
3898	30079	TELEFONE FIXO INTELBRAS TIP 120I	8	2031	417	133838	EM USO	NULL	NULL	BEA.SC	2025-10-17
3899	30080	MESA DE ESCRITORIO INDIVIDUAL REGULAVEL	8	2031	409	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
3900	16275	CADEIRA DE ESCRITORIO AZUL (GIRATORIA)	8	2031	390	133838	EM USO	NULL	NULL	BEA.SC	2025-10-15
