NUPATRIMONIO	SITUACAO	MARCA	CDLOCAL	MODELO	COR	DTAQUISICAO	DEHISTORICO	CDMATRFUNCIONARIO	CDPROJETO	USUARIO	DTOPERACAO	NUMOF	CODOBJETO	FLCONFERIDO
209	Á DISPOSIÇÃO	LAVOR	1			<null>	110 V	133838	100001	RYAN	15/08/2024	44136	21	N
210	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
211	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
212	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
213	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
214	Á DISPOSIÇÃO		2059			11/12/2011	SALA COMERCIAL	133838	8	BEA.SC	02/12/2025	<null>	<null>	S
215	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
216	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
217	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
218	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
219	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
220	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
221	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
222	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
223	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
224	CONSERTO	STIHL	1642			<null>	110V	185895	999915	TIAGOP	29/09/2025	44136	66	N
225	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
226	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
227	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
228	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
229	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
230	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
231	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
232	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
233	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
234	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
235	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
236	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
237	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
238	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
239	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
240	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
241	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
242	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
243	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
244	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
245	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
246	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
247	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
248	EM USO		1			11/12/2011		133838	8	BEA.SC	03/12/2025	<null>	<null>	N
