CDLOCAL	DELOCAL	CODIGO_PROJETO	FLATIVO
288	ARINOS	648	0
289	BAEPENDI - SUSPENSO	648	0
290	BARAO DE COCAIS	648	0
291	BARBACENA	648	0
292	BETIM	648	0
293	BICAS	648	0
294	BOA ESPERANCA	648	0
295	BOCAIUVA	648	0
296	BRASILIA DE MINAS	648	0
297	BRASOPOLIS - NÃO IMPANTADO	648	0
298	BRUMADINHO	648	0
299	BUENO BRANDAO (SUSPENSO)	648	0
300	BURITIS	648	0
301	CACHOEIRA DE MINAS	648	0
302	CAETE	648	0
303	CALDAS	648	0
304	CAMBUI	648	0
305	CAMPO BELO	648	0
306	CAMPOS ALTOS	648	0
307	CANAPOLIS	648	0
308	CONCEIÇÃO DO MATO DENTRO	648	0
309	CANDEIAS	648	0
310	CAPELINHA	648	0
311	CARANGOLA-SUSPENSÃO	648	0
312	CARATINGA	648	0
313	CARLOS CHAGAS	648	0
314	CARMO DO PARANAIBA	648	0
315	CARMO DO RIO CLARO	648	0
316	CARMOPOLIS DE MINAS	648	0
317	CASSIA	648	0
318	CATAGUASES - 1ª PROMOTORIA	648	0
319	CATAGUASES - 2ª PROMOTORIA	648	0
320	CAXAMBU	648	0
321	CLAUDIO	648	0
322	CONCEICAO DAS ALAGOAS	648	0
323	CONGONHAS	648	0
324	CONQUISTA	648	0
325	CONSELHEIRO LAFAIETE	648	0
326	CONSELHEIRO PENA	648	0
327	CONTAGEM	648	0
328	CORACAO DE JESUS	648	0
329	CORINTO	648	0
330	COROMANDEL	648	0
331	CORONEL FABRICIANO	648	0
332	CRUZILIA	648	0
333	CURVELO	648	0
334	DIAMANTINA	648	0
335	DIVINO	648	0
336	DIVINOPOLIS - 2 UNIDADES	648	0
337	DORES DO INDAIA	648	0
338	ELOI MENDES	648	0
339	ERVALIA	648	0
340	ESMERALDAS	648	0
341	ESPINOSA - SUSPENSÃO	648	0
342	FORMIGA	648	0
343	FRANCISCO SÁ	648	0
344	FRUTAL	648	0
345	GOVERNADOR VALADARES	648	0
346	GRAO MOGOL - NÃO IMPLANTADO	648	0
347	GUANHAES	648	0
348	GUAXUPE	648	0
349	IBIA	648	0
350	IBIRACI	648	0
351	IBIRITE	648	0
352	IGARAPE	648	0
353	INHAPIM	648	0
354	IPANEMA - SUSPENSÃO	648	0
355	IPATINGA - NOVA SEDE	648	0
356	IPATINGA - CARIRU	648	0
357	IPATINGA - SÃO JOÃO	648	0
358	ITABIRA	648	0
359	ITABIRITO- SUSPENSÃO	648	0
360	ITAGUARA	648	0
361	ITAJUBA	648	0
362	ITAMARANDIBA	648	0
363	ITAMBACURI	648	0
364	ITAMOGI - NÃO IMPLANTADO	648	0
365	ITAMONTE	648	0
366	ITAPAGIPE - SUSPENSÃO	648	0
367	ITAPECERICA	648	0
368	ITAUNA	648	0
369	ITUIUTABA	648	0
370	ITURAMA	648	0
371	JABUTICATUBAS	648	0
372	JACINTO	648	0
373	JAIBA - NÃO IMPLANTADO	648	0
374	JANAUBA	648	0
375	JANUARIA	648	0
376	JEQUITINHONHA	648	0
377	JOAO MONLEVADE	648	0
378	JOAO PINHEIRO- SUSPENSÃO	648	0
379	JUIZ DE FORA - CAO	648	0
380	JUIZ DE FORA - SECRETARIA	648	0
381	LAGOA DA PRATA	648	0
382	LAMBARI	648	0
383	LAVRAS - BACIA	648	0
384	LAVRAS - SEDE	648	0
385	LUZ	648	0
386	MACHADO	648	0
387	MALACACHETA	648	0
388	MANGA- SUSPENSÃO	648	0
389	MANHUACU	648	0
390	MANHUMIRIM	648	0
391	MANTENA	648	0
392	MARIANA	648	0
393	MARTINHO CAMPOS	648	0
394	MATEUS LEME	648	0
395	MATIAS BARBOSA- SUSPENSÃO	648	0
396	MATOZINHOS	648	0
397	MINAS NOVAS	648	0
398	MIRADOURO	648	0
399	MIRAI - SUSPENSÃO	648	0
400	MONTE AZUL	648	0
401	MONTE CARMELO	648	0
402	MONTES CLAROS (COORDENADORIA)	648	0
403	MONTES CLAROS (MEIO AMBIENTE)	648	0
404	MURIAE	648	0
405	MUZAMBINHO	648	0
406	NANUQUE - SUSPENSÃO	648	0
407	NOVA LIMA	648	0
408	NOVA PONTE	648	0
409	NOVA SERRANA	648	0
410	NOVO CRUZEIRO	648	0
