NUPATR	CODPROJ	DTMOVI	TIPO	USUARIO	DTOPERACAO
36682	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36683	736	2025-08-27 00:00:00	INCLUSAO	BEA.SC	2025-08-27 00:00:00
36685	773	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36686	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36686	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36686	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36687	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36687	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36688	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36688	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36689	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36690	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36690	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36691	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36691	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36692	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36692	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36694	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36694	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36695	773	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36696	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36697	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36699	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36699	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36700	610	2025-08-12 00:00:00	INCLUSAO	BEA.SC	2025-08-12 00:00:00
36700	610	2025-08-28 00:00:00	INCLUSAO	BEA.SC	2025-08-28 00:00:00
36723	889	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36728	889	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36729	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36735	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36737	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36738	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36738	631	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36739	631	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36739	631	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36740	631	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36745	648	2025-09-10 00:00:00	INCLUSAO	BEA.SC	2025-09-10 00:00:00
36745	648	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36750	889	2025-09-17 00:00:00	INCLUSAO	BEA.SC	2025-09-17 00:00:00
36759	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36760	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36761	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36773	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36774	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36785	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36786	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36788	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36789	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36790	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36796	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
36797	610	2025-09-15 00:00:00	INCLUSAO	BEA.SC	2025-09-15 00:00:00
