NUSEOBJETO    NUSEQTIPOPATR    DEOBJETO                                                                                                                                                   
947           20               CADEIRA DE RODAS CDS                                                                                                                                       
948           6                CONTENTOR DE LIXO 120 LITROS COLETA SELETIVA COM RODA                                                                                                      
949           53               MESA DE PLASTICO BRANCO                                                                                                                                    
950           53               MESA DE MADEIRA MARROM                                                                                                                                     
951           15               MICROONDAS PANASONIC NN-ST25LWRUN                                                                                                                          
952           53               MESA DE ESCRITORIO CINZA                                                                                                                                   
954           53               MESA ERGONOMICA D TEC CINZA/BRANCO                                                                                                                         
955           53               MESA ERGONOMICA D TEC BRANCO                                                                                                                               
956           59               ARMARIO 3 PORTAS                                                                                                                                           
957           35               ARMARIO DE AÇO PARA ARQUIVO 4 GAVETAS CINZA/PRETO                                                                                                          
958           35               GAVETEIRO COM RODAS                                                                                                                                        
959           53               MESA ERGONOMICA D TEC BEGE                                                                                                                                 
960           79               RACK 26X55CM EM AÇO                                                                                                                                        
961           79               RACK 173X80X60CM EM AÇO                                                                                                                                    
962           79               RACK 173X80X60CM EM AÇO                                                                                                                                    
963           79               RACK 57X 55CM EM AÇO                                                                                                                                       
964           79               RACK DE FERRO                                                                                                                                              
965           79               RACK 213 X100X80CM EM AÇO                                                                                                                                  
966           39               ESTANTE COM PRATELEIRAS CINZA                                                                                                                              
967           2                ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO                                                                                       
968           110              REGADOR DE PLANTAS GRANDE PLÁSTICO 10L                                                                                                                     
969           9                ESCADA EXTENSIVEL AÇO REFORÇADO 5X08 DEGRAUS                                                                                                               
970           34               MONITOR DELL 22'' E2222HS                                                                                                                                  
971           27               CPU DELL OPTIPLEX MICRO 7010                                                                                                                               
972           2                ASPIRADOR DE PO E AGUA GT30N 1300W 110V                                                                                                                    
973           2                ASPIRADOR DE PO E AGUA WAP GTW 10 COMPACTO 1400W                                                                                                           
974           111              WEBCAM FULL HD                                                                                                                                             
975           20               CADEIRA/CARTEIRA UNIVERSITARIA AZUL/PRETO                                                                                                                  
976           71               VENTILADOR PEDESTAL MONDIAL NV-61-6P-NP                                                                                                                    
977           33               TELEVISÃO SEMP TOSHIBA 36''                                                                                                                                
978           5                CARRO FUNCIONAL BLACK PARA LIMPEZA SUPER RESISTENTE                                                                                                        
979           9                ESCADA TELESCOPICA EXTENSIVA AÇO INOXIDÁVEL 11 DEGRAUS 3,2MT                                                                                               
980           112              WALKIE TALKIE INTELBRAS UHF RC3002                                                                                                                         
981           17               ROÇADEIRA LATERAL A GASOLINA VULCAN VR520H 52CC 2,5HP 2T VR6                                                                                               
982           4                CARRINHO DE MÃO 55 LITROS GALVANIZADO                                                                                                                      
983           11               LAVADORA DE ALTA PRESSÃO KARCHER HD 6/15C                                                                                                                  
984           11               LAVADORA DE ALTA PRESSÃO KARCHER COMPACTA 1500PSI 1400W 110V                                                                                               
985           95               LEITOR DE CODIGO DE BARRAS C3TECH LB-50BK USB 1D 127/220V PRETO                                                                                            
986           112              RÁDIO COMUNICADOR INTELBRAS UHF RC3002                                                                                                                     
987           58               SMARTPHONE SAMSUNG GALAXY S20 FE                                                                                                                           
988           2                ASPIRADOR DE PO E AGUA ELECTROLUX A20 SMART 220V                                                                                                           
989           2                ASPIRADOR DE PO GHIBLI AS 35 INOX 220V                                                                                                                     
990           2                ASPIRADOR DE PO E AGUA ELECTROLUX ACQUA POWER 1400W 18L                                                                                                    
991           113              APARADOR PARA CERCAS                                                                                                                                       
992           114              PODADOR DE GALHOS                                                                                                                                          
993           22               AR CONDICIONADO ELGIN SPLIT INVERTER PISO TETO 60000 BTUS ECO SÓ FRIO PVFI60B2NB                                                                           
994           59               ARMARIO BUFFET 5 PORTAS                                                                                                                                    
995           59               ARMARIO DE AÇO 12 PORTAS                                                                                                                                   
996           58               SMARTPHONE MOTOROLA MOTO G22                                                                                                                               
997           17               ROÇADEIRA A GASOLINA STIHL FS 160 DM300-3 29,8CC 1,9HP                                                                                                     
998           59               ARMARIO PARA ARQUIVO PASTA SUSPENSA 4 GAVETAS                                                                                                              
999           57               BEBEDOURO GELAGUA ESMALTEC MODELO EGC35B                                                                                                                   
1000          27               CPU ATHLON                                                                                                                                                 
1001          27               CPU DELL OPTIFLEX 3020                                                                                                                                     
1002          31               REFRIGERADOR ELECTROLUX DEGELO AUTOLIMPANTE 240 LITROS BRANCO 1 PORTA RE31                                                                                 
1003          17               ROÇADEIRA TOYAMA                                                                                                                                           
1004          31               REFRIGERADOR PHILCO DEGELO PH115 220V                                                                                                                      
1005          11               LAVADORA DE ALTA PRESSÃO MAKITA HW101 220V                                                                                                                 
1006          22               AR CONDICIONADO ELGIN SPLIT HVQ130B2IA 8790W 220V                                                                                                          
1007          2                ASPIRADOR DE PO KARCHER NT 3000                                                                                                                            
1008          39               ESTANTE DE AÇO 4 PRATELEIRAS                                                                                                                               
1009          35               GAVETEIRO 4 GAVETAS                                                                                                                                        
1010          34               MONITOR DELL 18,5'' E1914HC                                                                                                                                
1011          34               MONITOR DELL 17" E170SC                                                                                                                                    
1012          34               MONITOR LG FALTRON 18,5" W1473CV                                                                                                                           
1013          105              BALCÃO DE ATENDIMENTO COM 4 GAVETAS                                                                                                                        
1014          64               TELEFONE FIXO SEM FIO INTELBRAS TIS5010                                                                                                                    
1015          34               MONITOR DELL 19" P1914SF                                                                                                                                   
1016          20               CADEIRA SECRETARIA FIXA PE PALITO ESTOFADA AZUL                                                                                                            
1017          53               MESA DE ESCRITORIO PEQUENA                                                                                                                                 
1018          53               MESA DE 4 LUGARES                                                                                                                                          
1019          105              BALCÃO DE COZINHA 2 PORTAS E 3 GAVETAS                                                                                                                     
1020          31               REFRIGERADOR CONSUL 342L 220V                                                                                                                              
1021          96               PULVERIZADOR VONDER PLUS AGRIC 12 OL PCV 120                                                                                                               
1022          11               LAVADORA DE ALTA PRESSÃO TRAMONTINA 1200W 220V                                                                                                             
1023          9                ESCADA EXTENSIVEL VAZADA EM FIBRA DE VIDRO 27 DEGRAUS 4,80X8,40M                                                                                           
1024          30               BALANÇA DIGITAL TECHLINE TEC-SILVER                                                                                                                        
1025          22               AR CONDICIONADO TCL INVERTER 12000 BTUS                                                                                                                    
1026          28               SUPORTE PARA MONITOR ELEVADO 60CM MDF PRETO                                                                                                                
1027          58               SMARTPHONE SAMSUNG GALAXY J5 PRIME                                                                                                                         
1028          17               ROÇADEIRA VULCAN TRENT VR430                                                                                                                               
1029          9                ESCADA DE ALUMINIO 2X9                                                                                                                                     
1030          44               PARAFUSADEIRA FURADEIRA BLACK DECKER                                                                                                                       
1031          4                CARRINHO DE MÃO 60 LITROS                                                                                                                                  
1032          15               MICROONDAS MIDEA 21 LITROS MTFE21 BRANCO                                                                                                                   
1033          8                ENCERADEIRA CLEANER 510 220V                                                                                                                               
1034          8                ENCERADEIRA CLEANER 350 220V                                                                                                                               
1035          8                ENCERADEIRA INDUSTRIAL MEBAL                                                                                                                               
1036          18               SOPRADOR DE FOLHAS A GASOLINA TOYAMA 2T 1.0HP 25.4CC TB26X                                                                                                 
1038          34               MONITOR ITAUTEC                                                                                                                                            
1039          4                CARRINHO DE MÃO 60L FISCHER VERMELHO                                                                                                                       
1040          3                BALDE DOBLO ESPREMEDOR 20FLEX                                                                                                                              
1041          2                ASPIRADOR DE PO E AGUA WAP GTW INOX FW005041 12L COR PRETO E AMARELO 127V                                                                                  
1042          117              MICROFONE LOGITECH 989-000405 MEETUP                                                                                                                       
1043          23               NOTEBOOK LENOVO V15 I5-1235U 8GB 256GB W11 HOME 15.6 FHD                                                                                                   
1044          17               ROÇADEIRA A GASOLINA VULCAN TRENT VR520H                                                                                                                   
1045          60               BANDEJA REDONDA ARIENZO-SE 45CM ANTIDERRAPANTE BRINOX                                                                                                      
1046          25               SERRA MARMORE MAKITA 4100NH3ZX2 1300W 1MM 110V                                                                                                             
1047          58               SMARTPHONE SAMSUNG GALAXY A14 5G                                                                                                                           
1048          34               MONITOR LED 20 PCTOP HDMI MLP200HDMI PRETO                                                                                                                 
1049          14               PARAFUSADEIRA BORSCH GSR1000 SMART 12V                                                                                                                     
1050          34               MONITOR GAMER KOZZ 19 5MS 60HZ HDMI VGA GAMING AJUSTÁVEL                                                                                                   
1051          58               SMARTPHONE SAMSUNG GALAXY A01                                                                                                                              
1052          58               SMARTPHONE SAMSUNG GALAXY A13                                                                                                                              
1053          79               RACK 5U DVR CFTV SWITCH                                                                                                                                    
1054          18               SOPRADOR DE FOLHAS A GASOLINA GARTHEN EBV-260                                                                                                              
1055          34               MONITOR LG 29'' ULTRAWIDE 29WK600-W IPS FHD IPS 127/220V                                                                                                   
1056          35               GAVETEIRO VOLANTE 04 GAVETAS 0,670,460,40M COR CINZA INCOFLEX                                                                                              
1057          2                ASPIRADOR DE PO E AGUA ELECTROLUX ACQUA POWER 10L 1250W 110V                                                                                               
1058          78               FIREWALL MIKROTIK RB780GR3                                                                                                                                 
1059          9                ESCADA DE ALUMINIO TELESCOPICA VONDER 8 DEGRAUS COM AMORTECEDOR                                                                                            
1060          120              MANGUEIRA DE JARDIM TRAMONTINA 1/2 POLEGADAS                                                                                                               
1061          119              RASTELO                                                                                                                                                    
1062          106              CABO EXTENSOR TELESCOPICO BRALIMPIA 6 METROS                                                                                                               
1063          118              TELA MOSQUETEIRO LAHUMAN VERDE 1,20X50CM                                                                                                                   
1064          34               MONITOR SOYO LED 18,5''                                                                                                                                    
1065          31               GELADEIRA CONSUL CRB39ABBNA FROST FREE 342L 220V                                                                                                           
1066          31               GELADEIRA CONSUL DEGELO SECO CRA30FBANA 261L BRANCA 127V                                                                                                   
1067          9                ESCADA DOMESTICA EM ALUMINIO 5 DEGRAUS                                                                                                                     
1068          34               MONITOR HYRAX LED 19 HDMI VGA VESA 60HZ 100V/240V                                                                                                          
1069          2                ASPIRADOR DE PO E AGUA ELECTROLUX AWD01 110V                                                                                                               
1070          9                ESCADA DOMESTICA EM ALUMINIO 4 DEGRAUS                                                                                                                     
1071          77               SWITCH GIGABIT TP-LINK 8 PORTAS LS1008G                                                                                                                    
1072          34               MONITOR HAYOM LED WIDESCREEN HD 19,5 HDMI E VGA 60HZ                                                                                                       
1073          15               MICROONDAS MIDEA MRAS21 21L BRANCO                                                                                                                         
1074          15               MICROONDAS MIDEA MRAM21 21L BRANCO                                                                                                                         
1075          15               MICROONDAS MIDEA MTFE21 21L BRANCO                                                                                                                         
1076          15               MICROONDAS PANASONIC ST25LWRU BRANCO 21L 220V                                                                                                              
1077          11               LAVADORA DE ALTA PRESSÃO STIHL RE 110                                                                                                                      
1078          11               LAVADORA DE ALTA PRESSÃO WAP BRAVO 2550                                                                                                                    
1079          39               ESTANTE DE AÇO INDUSTRIAL 6 PRATELEIRAS 90X198                                                                                                             
1080          17               ROÇADEIRA A GASOLINA TERRA GR-260                                                                                                                          
1081          17               ROÇADEIRA A GASOLINA NAKASAKI NK 650 AT                                                                                                                    
1082          83               ACCESS POINT GWN7660 COM FONTE POE 48V GWN GRANDSTREAM                                                                                                     
1083          78               FIREWALL FORTIGATE FG-60F                                                                                                                                  
1084          77               SWITCH GIGABIT CRS326 - 24G- 2S + RM / 24 PORTAS GIGABIT                                                                                                   
1085          77               SWITCH MIKROTIK CRS354-48G-2Q+RM                                                                                                                           
1086          77               SWITCH TPLINK 8 PORTAS                                                                                                                                     
1087          34               MONITOR LG ULTRAWIDE 25,7 26WQ500                                                                                                                          
1088          17               ROÇADEIRA A GASOLINA TERRA GR-260XP                                                                                                                        
1089          15               MICROONDAS CONSUL CMA20BB 20 LITROS COR BRANCO 110V                                                                                                        
1090          23               NOTEBOOK SAMSUNG GALAXY BOOK 4                                                                                                                             
1091          50               SCANNER DE MESA BROTHER ADS-3100 COR BRANCO                                                                                                                
1092          2                ASPIRADOR DE PO E AGUA WAP 20 INOX 220V                                                                                                                    
1093          34               MONITOR MYMAX 19'' POLEGADAS HD LED 60HZ HDMI VGA 3.6MS PRETO                                                                                              
1094          40               MOTOPODADOR DE GALHOS CARBON FAK 2T 33CC 1,3 HP C/EXTENSOR                                                                                                 
1152          39               ESTANTE AÇO 7 PRATELEIRAS DE 58CM LINHA PESADA 500KG L2                                                                                                    
1096          1                APARADOR GRAMA ELETRICO TRAPP MASTER 1000 PLUS COR VERDE/PRETO 127V                                                                                        
1097          7                CORTADOR DE GRAMA ELETRICO GARTHEN CG-34                                                                                                                   
1098          11               LAVADORA DE ALTA PRESSÃO FAMASTIL POWER 1600W 1950PSI 220V                                                                                                 
1099          11               LAVADORA DE ALTA PRESSÃO ELECTROLUX UPR11 220V                                                                                                             
1100          81               PROJETOR EPSON H981A                                                                                                                                       
1101          4                CARRINHO DE MÃO 60 LITROS METALOSA                                                                                                                         
1102          45               TRANSFORMADOR 5000VA 110/220                                                                                                                               
1103          34               MONITOR GAMER LG 27'' 27MS500-B                                                                                                                            
1104          22               AR CONDICIONADO ELGIN HI WALL 9000 BTUS ECO INVERTER II 220V                                                                                               
1105          20               CADEIRA DE ESCRITORIO ECOFLEX 467 ERGONOMICA PRETA COM ESTOFADO DE TECIDO                                                                                  
1106          71               VENTILADOR DE PAREDE VENTIDELTA 60CM PREMIUM PRETO BIV 170W COR DAS PAS NATURAL 110V/220V                                                                  
1107          90               ESTABILIZADOR TS SHARA POWEREST HOME 1000 BIVOLT 1000VA 9007                                                                                               
1108          11               LAVADORA DE ALTA PRESSÃO STIHL RE 900KM 220V                                                                                                               
1109          1                APARADOR DE GRAMA TRAMONTINA AP1000T                                                                                                                       
1110          17               ROÇADEIRA A GASOLINA ECHO SRM-22GES                                                                                                                        
1111          18               SOPRADOR DE FOLHAS COSTAL                                                                                                                                  
1112          8                ENCERADEIRA CLEANER 400 220V                                                                                                                               
1113          23               NOTEBOOK LENOVO V15 G3 IAP                                                                                                                                 
1115          34               MONITOR LG 29'' LED FULL HD ULTRAWIDE 29WL500 HDMI HDR IPS COR PRETO 100V/240V                                                                             
1121          76               NO BREAK PHD EA BR 6KVA E220 S220/120V 192VDC                                                                                                              
1122          76               BATERIA PARA NOBREAK                                                                                                                                       
1123          77               SWITCH INTELBRAS SC 5525-24X-2QE S/FAN/FNT                                                                                                                 
1124          99               IMPRESSORA DE CARTÃO SMART CH SINGLE SIDE 51S INT (8480)                                                                                                   
1125          34               MONITOR SAMSUNG GAMER 27'' T350 FHD                                                                                                                        
1126          83               ACCESS POINT TP-LINK EAP650, WI-FI 6, 2.976 MBPS, DUAL BAND, AX3000, TETO                                                                                  
1127          34               MONITOR FMAXX 19'' MQ19V LED COM HDMI VGA VESA COR PRETO                                                                                                   
1128          105              BALCÃO DE PIA COM CUBA INOX 1,50M                                                                                                                          
1129          53               MESA REFEITORIO MG 4004 TAMPO 120X80 CADEIRAS GIRATORIAS 4 LUGARES                                                                                         
1130          5                CARRO FUNCIONAL CAPACIDADE DE ATÉ 90 LITROS OU 50 KILOS                                                                                                    
1131          121              MISTURADOR ELÉTRICO MENEGOTTI DE ARGAMASSA/TINTA 1800W 220V                                                                                                
1132          23               NOTEBOOK LENOVO IDEAPAD 1I INTEL CORE I5 1235U 8GB RAM 512GB SSD WINDOWS 11 HOME TELA 15,6'' HD                                                            
1134          11               LAVADORA DE ALTA PRESSÃO KARCHER HD 585 PROFI NEW 2200W 127V                                                                                               
1135          96               PULVERIZADOR COSTAL 12L COMPRESSÃO MANUAL                                                                                                                  
1136          2                ASPIRADOR DE PO E AGUA KARCHER NT 3000 127V                                                                                                                
1137          1                APARADOR DE GRAMA TRAMONTINA AP1000T 127V                                                                                                                  
1138          1                APARADOR DE GRAMA TRAMONTINA AP1000T 220V                                                                                                                  
1139          1                APARADOR DE GRAMA TRAMONTINA AP1500T 110V                                                                                                                  
1140          2                ASPIRADOR DE PO E AGUA KARCHER NT 3000 220V                                                                                                                
1141          2                ASPIRADOR DE PO E AGUA ELECTROLUX A20L 220V                                                                                                                
1142          11               LAVADORA DE ALTA PRESSÃO WAP PREMIUM 2600 220V                                                                                                             
1143          34               MONITOR LG 29" 29WQ500-B FULL HD 100HZ                                                                                                                     
1144          11               LAVADORA DE ALTA PRESSÃO KARCHER K4 POWER 220V                                                                                                             
1145          122              ESMERILHADEIRA ANGULAR STANLEY 4.1/2 STGS9115-B2 220V                                                                                                      
1146          2                ASPIRADOR DE PO E AGUA LAVOR VAC 22 220V                                                                                                                   
1147          18               SOPRADOR DE FOLHAS GARTHEN GSE260                                                                                                                          
1148          2                ASPIRADOR DE PO E AGUA POWNER 1400W IPX4 220V                                                                                                              
1149          15               MICROONDAS PHILCO 33L PMO38E ESPELHADO 220V                                                                                                                
1153          39               ESTANTE AÇO 4 PRATELEIRAS DE 58CM LINHA PESADA 500KG L2                                                                                                    
1154          123              CARRINHO DE CARGA SUPORTE 200KG                                                                                                                            
1155          2                ASPIRADOR DE PO E AGUA LAVOR VAC 22 110V                                                                                                                   
1156          11               LAVADORA DE ALTA PRESSÃO IPC PRO 1600                                                                                                                      
1157          17               ROÇADEIRA A GASOLINA STIHL FS290                                                                                                                           
1158          124              HD EXTERNO ADATA HV320 1TB                                                                                                                                 
1159          59               ARMARIO MULTIUSO PARA QUARTO 2 PORTAS COM 6 PRATELEIRAS 1,90                                                                                               
1160          34               MONITOR BLUECASE 19'' BM19K4HVW LED PRETO                                                                                                                  
1161          11               LAVADORA DE ALTA PRESSÃO KARCHER HD 6/15C 220V                                                                                                             
1162          125              DOCK STATION DUAL HD SATA 2.5 E 3.5 USB 3.0 BOTÃO CLONE                                                                                                    
1163          2                ASPIRADOR E SOPRADOR DE FOLHAS E SUJEIRAS BOMDER [21V] 127/220V AMARELO/PRETO                                                                              
1164          2                ASPIRADOR DE PO E AGUA POWNER 1400W IPX4 220V                                                                                                              
1165          63               CAFETEIRA ELETRICA DESPERTA CONTRAST CAF338 CADENCE                                                                                                        
1166          23               NOTEBOOK LENOVO V15 I5-13420H 15.6" FHD                                                                                                                    
1167          126              RELOGIO DIGITAL DE PAREDE LED 46CM                                                                                                                         
1168          34               MONITOR ACER 27" FHD LED IPS 100HZ AMD FREESYNC EK271                                                                                                      
1169          17               ROÇADEIRA A GASOLINA VULCAN TRENT VR630H                                                                                                                   
1170          34               MONITOR LG 19 POLEGADAS                                                                                                                                    
1171          17               ROÇADEIRA A GASOLINA TERRA GRH430-BLACK                                                                                                                    
1172          1                APARADOR DE GRAMA TRAMONTINA 127V AP1500T                                                                                                                  
1173          8                ENCERADEIRA INDUSTRIAL CL350 AUTOVOLT PLUS                                                                                                                 
1174          77               SWITCH GERENCIAVEL BASE X 48P + 4P SFP 10000 S3352G-B                                                                                                      
1175          9                ESCADA DE ALUMINIO 8 DEGRAUS                                                                                                                               
1176          9                ESCADA DE ALUMINIO 8 DEGRAUS                                                                                                                               
1177          127              FRAGMENTADORA DE PAPEL 6 FLS 220V                                                                                                                          
1178          53               MESA SECRETARIA MAXXI 120X60 CINZA 2 GAVETAS                                                                                                               
1179          17               ROÇADEIRA LATERAL VR430P 2T 43CC 1,7HP PROFISSIONAL VULCAN                                                                                                 
1180          17               ROÇADEIRA NAKASHI L 431-M                                                                                                                                  
1182          58               SMARTPHONE SAMSUNG GALAXY A22 5G                                                                                                                           
1183          58               SMARTPHONE SAMSUNG GALAXY A15 5G                                                                                                                           
1184          58               SMARTPHONE                                                                                                                                                 
1185          104              EXTRATORA PARA CARPETE R3 TENNANT READYSPACE                                                                                                               
1186          7                CORTADOR DE GRAMA A GASOLINA TRAPP MC-650G                                                                                                                 
1187          7                CORTADOR DE GRAMA A GASOLINA TRAPP MC-550G                                                                                                                 
1188          7                CORTADOR DE GRAMA ELETRICO VONDER MGV 1100 COM RECOLHEDOR 1,5HP 3360MM 60HZ 127V                                                                           
1189          2                ASPIRADOR DE PO BLACK+DECKER COMPACT A3 VERDE 1600W 220V                                                                                                   
1190          128              PLACA DE PATRIMONIO INUTILIZAVEL                                                                                                                           
1191          2                ASPIRADOR DE PO E AGUA                                                                                                                                     
1192          3                BALDE DOBLO                                                                                                                                                
1193          1                APARADOR DE GRAMA                                                                                                                                          
1194          104              EXTRATORA DE ESTOFADO E CARPETE                                                                                                                            
1195          130              MAQUINA DE ASSENTAR PISO                                                                                                                                   
1196          96               PULVERIZADOR COSTAL                                                                                                                                        
1197          96               PULVERIZADOR 20L NOVE54 VERMELHO                                                                                                                           
1198          23               NOTEBOOK                                                                                                                                                   
1199          5                CARRO FUNCIONAL BRALIMPIA AZUL                                                                                                                             
1200          14               PARAFUSADEIRA GSB 550 RE BOSCH 220V                                                                                                                        
