NUSEOBJETO    NUSEQTIPOPATR    DEOBJETO                                                                                                                                                   
207           49               PURIFICADOR DE ÁGUA EOS PREMIUM BRANCO EPE01B BIVOLT                                                                                                       
208           51               FRIGOBAR EOS ICE COMPACT 71L                                                                                                                               
209           51               FRIGOBAR MIDEA BRANCO 93L 110V - MRC10B1                                                                                                                   
210           15               MICROONDAS PANASONIC 127V                                                                                                                                  
211           35               ARMARIO DE AÇO PARA ARQUIVO 4 GAVETAS CINZA                                                                                                                
212           35               ARMARIO DE AÇO PARA ARQUIVO                                                                                                                                
213           39               ESTANTE DE AÇO 192X90X40                                                                                                                                   
214           33               TELEVISÃO 50 POLEGADAS 4K                                                                                                                                  
215           33               TELEVISÃO SMART TCL 50'' UHD 4K LED                                                                                                                        
216           22               AR CONDICIONADO 60.000 BTUS                                                                                                                                
217           35               GUARDA VOLUME                                                                                                                                              
218           15               FORNO MICROONDAS                                                                                                                                           
219           29               CLIMATIZADOR                                                                                                                                               
220           8                ENCERADEIRA INDUSTRIAL 350MM                                                                                                                               
221           8                ENCERADEIRA 350MM 127V                                                                                                                                     
222           2                ASPIRADOR DE PO GT3000 127V                                                                                                                                
223           17                ROÇADEIRA A GASOLINA TRENT VR430S                                                                                                                         
224           2                ASPIRADOR DE PO E AGUA PROFISSIONAL GT3000 1300W 110V                                                                                                      
226           8                ENCERADEIRA 350MM BIVOLT                                                                                                                                   
227           11               LAVADORA DE ALTA PRESSAO KARCHER HD 6/15                                                                                                                   
228           2                ASPIRADOR DE PO E AGUA ELECTROLUX GT30N 127V                                                                                                               
229           2                ASPIRADOR DE PO E AGUA 127V                                                                                                                                
230           2                ASPIRADOR PO E AGUA KARCHER NT 585                                                                                                                         
231           11               LAVADORA ALTA PRESSÃO KÄRCHER K1                                                                                                                           
233           9                ESCADA DOBRAVEL EM ALUMINIO 6 DEGRAUS                                                                                                                      
234           9                ESCADA DE ALUMÍNIO TESOURA REAL 6 DEGRAUS                                                                                                                  
235           2                ASPIRADOR DE PO E AGUA ELETROLUX GT30                                                                                                                      
237           2                ASPIRADOR INDUSTRIAL TAMBOR KÄRCHER NT 2000 20L CINZA 127V                                                                                                 
239           9                ESCADA                                                                                                                                                     
240           2                ASPIRADOR DE PO E LIQUIDO                                                                                                                                  
241           52               LAVADORA E SECADORA KARCHER                                                                                                                                
242           4                CARRINHO DE CARGA 145KG                                                                                                                                    
243           15               MICROONDAS ELECTROLUX                                                                                                                                      
244           20               CADEIRA ESTUDANTIL COM APOIO                                                                                                                               
245           20               CADEIRA DE ESCRITORIO                                                                                                                                      
246           53               MESA DE ESCRITORIO COM GAVETA                                                                                                                              
